base_threshold,score_margin,use_plan_mine,use_action_prior,ir,fpr,acc,distance,n
0.05,0.0,False,True,1.0,0.0175,0.99125,0.11349999999999999,2400
-0.05,0.0,False,True,1.0,0.01,0.995,0.11599999999999999,2400
0.0,0.05,False,True,1.0,0.01,0.995,0.11599999999999999,2400
0.05,0.1,False,True,1.0,0.01,0.995,0.11599999999999999,2400
-0.1,0.0,False,True,1.0,0.008333333333333333,0.9958333333333333,0.11766666666666666,2400
-0.05,0.05,False,True,1.0,0.008333333333333333,0.9958333333333333,0.11766666666666666,2400
0.0,0.1,False,True,1.0,0.008333333333333333,0.9958333333333333,0.11766666666666666,2400
-0.1,0.05,False,True,1.0,0.0075,0.99625,0.1185,2400
-0.05,0.1,False,True,1.0,0.0075,0.99625,0.1185,2400
0.05,0.2,False,True,1.0,0.0075,0.99625,0.1185,2400
-0.2,0.0,False,True,1.0,0.005833333333333334,0.9970833333333333,0.12016666666666666,2400
-0.1,0.1,False,True,1.0,0.005833333333333334,0.9970833333333333,0.12016666666666666,2400
0.0,0.2,False,True,1.0,0.005833333333333334,0.9970833333333333,0.12016666666666666,2400
-0.1,1.0,True,False,0.9766666666666667,0.0475,0.9645833333333333,0.12016666666666667,2400
-0.5,0.0,True,True,1.0,0.004166666666666667,0.9979166666666667,0.12183333333333332,2400
-0.5,0.05,True,True,1.0,0.004166666666666667,0.9979166666666667,0.12183333333333332,2400
-0.5,0.1,True,True,1.0,0.004166666666666667,0.9979166666666667,0.12183333333333332,2400
-0.5,0.2,True,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.5,0.35,True,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.5,0.5,True,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.5,0.75,True,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.5,1.0,True,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.2,0.05,False,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.05,0.2,False,True,1.0,0.0033333333333333335,0.9983333333333333,0.12266666666666665,2400
-0.1,0.75,True,False,0.9766666666666667,0.05,0.9633333333333334,0.12266666666666667,2400
-0.3,0.0,False,True,1.0,0.0016666666666666668,0.9991666666666666,0.12433333333333332,2400
-0.3,0.05,False,True,1.0,0.0016666666666666668,0.9991666666666666,0.12433333333333332,2400
-0.2,0.1,False,True,1.0,0.0016666666666666668,0.9991666666666666,0.12433333333333332,2400
-0.2,0.5,True,True,1.0,0.028333333333333332,0.9858333333333333,0.12433333333333332,2400
-0.2,0.75,True,True,1.0,0.028333333333333332,0.9858333333333333,0.12433333333333332,2400
-0.2,1.0,True,True,1.0,0.028333333333333332,0.9858333333333333,0.12433333333333332,2400
-0.1,0.2,False,True,1.0,0.0016666666666666668,0.9991666666666666,0.12433333333333332,2400
0.0,0.35,False,True,1.0,0.0016666666666666668,0.9991666666666666,0.12433333333333332,2400
0.05,0.35,False,True,1.0,0.0016666666666666668,0.9991666666666666,0.12433333333333332,2400
-0.5,0.0,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.5,0.05,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.5,0.1,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.3,0.1,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.3,0.2,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.2,0.2,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.2,0.2,True,True,1.0,0.029166666666666667,0.9854166666666667,0.12516666666666665,2400
-0.2,0.35,False,True,1.0,0.0008333333333333334,0.9995833333333334,0.12516666666666665,2400
-0.2,0.35,True,True,1.0,0.029166666666666667,0.9854166666666667,0.12516666666666665,2400
